Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_1206_3216Metric",116.840000,-125.730000,180.000000,top
"C2","22uF","C_1206_3216Metric",135.255000,-116.840000,-90.000000,top
"C3","22uF","C_1206_3216Metric",116.840000,-45.720000,90.000000,top
"C4","0.1uF","C_0603_1608Metric",88.900000,-58.420000,0.000000,top
"C5","0.1uF","C_0603_1608Metric",171.450000,-65.265000,-90.000000,top
"C6","0.1uF","C_0603_1608Metric",88.265000,-52.070000,-90.000000,top
"D1","LED","LED_1206_3216Metric",128.270000,-111.125000,90.000000,top
"J1","PWR JST","PinSocket_1x02_P2.54mm_Vertical",118.090000,-121.970400,-90.000000,top
"J2","USB_A","USB_A_Molex_48037-2200_Horizontal",80.386400,-134.391400,180.000000,top
"J3","UART_JST","PinSocket_1x02_P2.54mm_Vertical",165.075000,-50.145000,180.000000,top
"J4","ZIF Test Point Socket","DIP-14_W7.62mm_Socket",153.035000,-123.190000,0.000000,top
"J5","Screen SPI Data","JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical",180.340000,-46.525800,-90.000000,top
"J6","Screen Power Pins","JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical",179.730400,-66.040000,90.000000,top
"J7","AVR-JTAG-10","IDC-Header_2x05_P2.54mm_Vertical",171.450000,-87.630000,0.000000,top
"R1","680R","R_1206_3216Metric",144.780000,-133.350000,0.000000,top
"R2","470k","R_1206_3216Metric",169.545000,-126.365000,180.000000,top
"R3","680R","R_1206_3216Metric",144.780000,-123.190000,0.000000,top
"R4","470k","R_1206_3216Metric",169.545000,-132.715000,180.000000,top
"R5","680R","R_1206_3216Metric",144.780000,-128.270000,0.000000,top
"R6","470k","R_1206_3216Metric",169.545000,-138.430000,180.000000,top
"R7","680","R_1206_3216Metric",128.270000,-117.032500,-90.000000,top
"R8","10k","R_1206_3216Metric",108.585000,-46.990000,180.000000,top
"SW1","SW_Push","SW_SPST_B3S-1000",164.465000,-64.135000,0.000000,top
"SW2","SW_Push","SW_SPST_B3S-1000",96.355000,-49.185000,180.000000,top
"SW3","Measure Push Button","SW_SPST_B3S-1100",172.555000,-113.955000,0.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",135.045000,-52.445600,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",116.724400,-114.172600,90.000000,top
"U3","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",116.651000,-133.604000,0.000000,top
